implementation,scenario,readers,writers,program_exec_time_sec,reader_throughput_ops_sec,writer_throughput_ops_sec,total_throughput_ops_sec,perf_cpu_cycles,perf_task_clock_ms
le_semaphore,R_eq_W,30,30,68.0207,0.44,0.44,0.88,28965815cpu-,29.16
le_semaphore,W_gt_R,30,50,103.0382,0.29,0.49,0.78,38923751cpu-,46.38
le_semaphore,R_gt_W,50,30,66.0208,0.76,0.45,1.21,34766177cpu-,30.08
le_busy_wait,R_eq_W,30,30,67.0046,0.45,0.45,0.90,1244985701920cpu-,371077.24
le_busy_wait,W_gt_R,30,50,111.0049,0.27,0.45,0.72,2173341296773cpu-,646250.93
le_busy_wait,R_gt_W,50,30,59.0759,0.85,0.51,1.35,1013328017211cpu-,320205.52
le_mutex_cond,R_eq_W,30,30,57.0526,0.53,0.53,1.05,60908269cpu-,78.06
le_mutex_cond,W_gt_R,30,50,99.0451,0.30,0.50,0.81,108553384cpu-,95.66
le_mutex_cond,R_gt_W,50,30,65.0587,0.77,0.46,1.23,68136596cpu-,86.14
